('Total Revenue', '391,035,000.00', '391,035,000.00', '383,285,000.00', '394,328,000.00', '365,817,000.00')
         735760 function calls (715802 primitive calls) in 7.297 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       48    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
       24    0.000    0.000    0.004    0.000 typing.py:483(Union)
       34    0.000    0.000    0.001    0.000 ipaddress.py:1636(_ip_int_from_string)
        2    0.000    0.000    0.023    0.012 client.py:206(_read_headers)
       69    0.000    0.000    0.781    0.011 {method 'readline' of '_io.BufferedReader' objects}
    42/30    0.000    0.000    0.032    0.001 css_parser.py:569(parse_pseudo_class)
  136/131    0.000    0.000    0.002    0.000 css_parser.py:375(_freeze_relations)
      269    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
    69/38    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      192    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       41    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
        2    0.000    0.000    0.001    0.000 feedparser.py:471(_parse_headers)
      311    0.000    0.000    0.000    0.000 css_parser.py:302(get_name)
      292    0.000    0.000    0.000    0.000 enum.py:801(value)
       64    0.000    0.000    0.120    0.002 client.py:624(_safe_read)
       17    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      190    0.000    0.000    0.000    0.000 dammit.py:134(<genexpr>)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      227    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
        6    0.000    0.000    0.002    0.000 feedparser.py:218(_parsegen)
      158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       49    0.000    0.000    0.001    0.000 typing.py:947(__init__)
       55    0.000    0.000    0.001    0.000 ipaddress.py:533(_split_addr_prefix)
    69/66    0.000    0.000    0.007    0.000 typing.py:306(inner)
        3    0.000    0.000    0.000    0.000 socket.py:220(__init__)
      248    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       47    0.000    0.000    0.001    0.000 abc.py:105(__new__)
       13    0.000    0.000    0.001    0.000 _collections_abc.py:991(update)
  197/195    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      203    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       24    0.000    0.000    0.000    0.000 typing.py:267(_remove_dups_flatten)
       34    0.000    0.000    0.002    0.000 ipaddress.py:2223(__init__)
        1    0.000    0.000    1.619    1.619 financial.py:46(get_data)
       51    0.000    0.000    0.002    0.000 parser.py:122(set_cdata_mode)
       50    0.000    0.000    0.001    0.000 ipaddress.py:1908(__init__)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
        3    0.000    0.000    0.021    0.007 utils.py:1(<module>)
      128    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
       42    0.000    0.000    0.120    0.003 response.py:1151(_handle_chunk)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
       62    0.000    0.000    0.000    0.000 _policybase.py:289(_sanitize_header)
      188    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       15    0.000    0.000    0.000    0.000 client.py:1239(putheader)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1494(__init__)
       52    0.000    0.000    0.009    0.000 css_parser.py:1092(<listcomp>)
       41    0.000    0.000    0.000    0.000 _collections.py:300(add)
       77    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
       77    0.000    0.000    0.000    0.000 structures.py:51(__getitem__)
       24    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      188    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       56    0.000    0.000    0.003    0.000 _htmlparser.py:90(handle_startendtag)
       53    0.000    0.000    0.000    0.000 sre_compile.py:456(_generate_overlap_table)
        9    0.000    0.000    0.002    0.000 cookiejar.py:950(set_ok)
      194    0.000    0.000    0.000    0.000 status_codes.py:117(<genexpr>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
       58    0.000    0.000    0.000    0.000 _collections_abc.py:821(get)
      184    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
       95    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       51    0.000    0.000    0.001    0.000 typing.py:664(__init__)
      158    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      169    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       43    0.000    0.000    0.000    0.000 response.py:1133(_update_chunk_length)
       48    0.000    0.000    0.001    0.000 enum.py:579(_get_mixins_)
        1    0.000    0.000    0.003    0.003 constant.py:1(<module>)
       40    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
       19    0.000    0.000    0.001    0.000 enum.py:165(__prepare__)
       44    0.000    0.000    0.008    0.000 response.py:469(_decode)
       19    0.000    0.000    0.002    0.000 typing.py:1138(__getitem__)
       69    0.000    0.000    0.001    0.000 css_types.py:251(__init__)
      186    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
    38/29    0.000    0.000    0.032    0.001 css_parser.py:732(parse_pseudo_open)
      173    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
       54    0.000    0.000    0.000    0.000 re.py:269(escape)
       55    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
        9    0.000    0.000    0.000    0.000 cookiejar.py:1491(_cookie_from_cookie_tuple)
